,Sales Channel,WarehouseCode,ProcuredDate,OrderDate,ShipDate,_SalesTeamID,_StoreID,Order Quantity,Discount Applied,Unit Cost,Unit Price,DaysToShip
825,Online,WARE-UHY1004,4/10/2018,9/4/2018,10/1/2018,13,239,8,0.2,464.31,"1,105.50",27 days
826,Wholesale,WARE-PUJ1005,4/10/2018,9/4/2018,9/17/2018,28,271,4,0.4,"1,215.85","1,762.10",13 days
827,Online,WARE-PUJ1005,7/19/2018,9/4/2018,9/28/2018,13,287,3,0.2,935.25,"1,989.90",24 days
828,In-Store,WARE-NMK1003,4/10/2018,9/5/2018,9/26/2018,7,159,3,0.1,198.59,261.3,21 days
829,Wholesale,WARE-XYS1001,4/10/2018,9/5/2018,9/7/2018,27,31,6,0.1,675.36,"1,072.00",2 days
830,In-Store,WARE-NMK1003,4/10/2018,9/5/2018,10/3/2018,12,184,5,0.075,899.81,"1,058.60",28 days
831,In-Store,WARE-UHY1004,7/19/2018,9/5/2018,10/1/2018,9,211,7,0.05,131.39,247.9,26 days
832,In-Store,WARE-XYS1001,7/19/2018,9/5/2018,10/3/2018,7,22,8,0.1,"1,117.16","2,659.90",28 days
833,In-Store,WARE-NMK1003,4/10/2018,9/5/2018,9/30/2018,9,152,3,0.05,866.71,"1,031.80",25 days
834,Online,WARE-XYS1001,4/10/2018,9/5/2018,9/13/2018,15,44,7,0.15,"1,120.24","2,546.00",8 days
835,Online,WARE-XYS1001,7/19/2018,9/5/2018,9/21/2018,18,54,7,0.1,660.35,857.6,16 days
836,Online,WARE-NMK1003,4/10/2018,9/6/2018,9/21/2018,20,116,5,0.1,"1,973.15","3,946.30",15 days
837,In-Store,WARE-MKL1006,4/10/2018,9/6/2018,10/2/2018,4,364,2,0.075,"2,484.09","4,006.60",26 days
838,Distributor,WARE-UHY1004,4/10/2018,9/6/2018,10/3/2018,25,222,4,0.075,758.64,"1,132.30",27 days
839,Distributor,WARE-NMK1003,4/10/2018,9/6/2018,9/14/2018,20,101,6,0.05,511.75,897.8,8 days
840,In-Store,WARE-NMK1003,7/19/2018,9/6/2018,9/23/2018,8,153,4,0.2,"2,678.93","3,939.60",17 days
841,Wholesale,WARE-NMK1003,7/19/2018,9/6/2018,9/15/2018,26,173,7,0.05,515.9,"1,031.80",9 days
842,In-Store,WARE-XYS1001,7/19/2018,9/6/2018,10/2/2018,1,24,7,0.05,"4,938.37","6,251.10",26 days
843,Wholesale,WARE-NMK1003,7/19/2018,9/6/2018,9/29/2018,27,169,7,0.05,"2,176.83","3,819.00",23 days
844,Distributor,WARE-NMK1003,4/10/2018,9/6/2018,9/17/2018,24,161,1,0.05,"3,233.55","5,480.60",11 days
845,Distributor,WARE-MKL1006,4/10/2018,9/7/2018,9/27/2018,21,347,8,0.075,752.54,"1,045.20",20 days
846,In-Store,WARE-NMK1003,7/19/2018,9/7/2018,9/19/2018,6,101,7,0.4,988.18,"2,298.10",12 days
847,Online,WARE-NBV1002,7/19/2018,9/7/2018,9/26/2018,18,64,7,0.05,730.43,924.6,19 days
848,In-Store,WARE-NMK1003,4/10/2018,9/7/2018,9/14/2018,6,186,3,0.1,"2,231.10","2,974.80",7 days
849,Distributor,WARE-NMK1003,4/10/2018,9/7/2018,9/19/2018,21,127,6,0.1,515.1,830.8,12 days
850,In-Store,WARE-NMK1003,4/10/2018,9/7/2018,9/17/2018,8,189,2,0.1,641.66,"1,051.90",10 days
851,Online,WARE-NMK1003,7/19/2018,9/7/2018,9/22/2018,13,146,4,0.2,763.53,"1,031.80",15 days
852,In-Store,WARE-NMK1003,7/19/2018,9/7/2018,9/15/2018,3,96,3,0.2,905.51,"1,775.50",8 days
853,In-Store,WARE-XYS1001,7/19/2018,9/8/2018,9/30/2018,7,25,7,0.05,"1,465.29","1,809.00",22 days
854,Online,WARE-UHY1004,4/10/2018,9/8/2018,9/21/2018,18,236,8,0.4,763.8,"1,005.00",13 days
855,In-Store,WARE-NMK1003,4/10/2018,9/8/2018,9/18/2018,1,134,4,0.2,85.43,167.5,10 days
856,Online,WARE-NMK1003,4/10/2018,9/8/2018,9/21/2018,14,201,2,0.075,681.26,"1,098.80",13 days
857,Distributor,WARE-PUJ1005,7/19/2018,9/8/2018,9/11/2018,22,324,4,0.05,91.92,187.6,3 days
858,Wholesale,WARE-NMK1003,7/19/2018,9/8/2018,9/17/2018,26,156,6,0.05,511.34,"1,065.30",9 days
859,Distributor,WARE-UHY1004,4/10/2018,9/8/2018,10/4/2018,21,219,3,0.2,813.65,"1,179.20",26 days
860,In-Store,WARE-NMK1003,7/19/2018,9/9/2018,9/15/2018,5,140,4,0.075,418.08,"1,045.20",6 days
861,Distributor,WARE-XYS1001,4/10/2018,9/9/2018,10/6/2018,21,22,7,0.05,644.88,837.5,27 days
862,In-Store,WARE-XYS1001,4/10/2018,9/9/2018,10/3/2018,10,41,4,0.075,480.73,"1,172.50",24 days
863,Distributor,WARE-XYS1001,4/10/2018,9/9/2018,9/18/2018,21,54,1,0.15,123.28,268,9 days
864,In-Store,WARE-XYS1001,4/10/2018,9/9/2018,9/24/2018,11,54,3,0.075,640.39,"1,085.40",15 days
865,Distributor,WARE-PUJ1005,4/10/2018,9/9/2018,10/2/2018,25,279,6,0.05,"1,246.20","3,115.50",23 days
866,Wholesale,WARE-NMK1003,4/10/2018,9/10/2018,9/29/2018,26,98,8,0.05,"1,447.20","2,412.00",19 days
867,In-Store,WARE-XYS1001,7/19/2018,9/10/2018,9/23/2018,10,51,5,0.15,"1,923.84","3,926.20",13 days
868,Distributor,WARE-XYS1001,7/19/2018,9/10/2018,9/21/2018,25,16,7,0.2,"1,713.53","2,284.70",11 days
869,Online,WARE-UHY1004,7/19/2018,9/10/2018,10/5/2018,13,255,5,0.05,556.57,783.9,25 days
870,In-Store,WARE-PUJ1005,7/19/2018,9/10/2018,9/12/2018,7,310,8,0.075,557.44,871,2 days
871,Online,WARE-NMK1003,7/19/2018,9/10/2018,10/4/2018,20,190,3,0.05,831,"1,051.90",24 days
872,In-Store,WARE-PUJ1005,4/10/2018,9/10/2018,9/24/2018,8,294,1,0.05,609.7,"1,219.40",14 days
873,In-Store,WARE-MKL1006,4/10/2018,9/10/2018,9/21/2018,7,361,5,0.2,509.07,877.7,11 days
874,In-Store,WARE-NMK1003,7/19/2018,9/10/2018,9/16/2018,3,193,6,0.1,151.55,261.3,6 days
875,In-Store,WARE-XYS1001,4/10/2018,9/11/2018,9/15/2018,11,25,7,0.15,"3,155.16","5,172.40",4 days
876,Online,WARE-UHY1004,7/19/2018,9/11/2018,10/9/2018,12,230,1,0.1,"1,835.00","2,237.80",28 days
877,In-Store,WARE-NMK1003,7/19/2018,9/11/2018,10/9/2018,6,121,5,0.05,135.68,180.9,28 days
878,In-Store,WARE-NMK1003,4/10/2018,9/11/2018,10/6/2018,4,103,6,0.075,"1,594.60","1,876.00",25 days
879,Distributor,WARE-UHY1004,7/19/2018,9/11/2018,9/21/2018,21,251,8,0.2,"4,303.54","5,815.60",10 days
880,In-Store,WARE-NMK1003,4/10/2018,9/11/2018,10/5/2018,9,148,6,0.1,903.76,"1,922.90",24 days
881,In-Store,WARE-NMK1003,4/10/2018,9/11/2018,9/19/2018,1,142,5,0.05,441.8,"1,051.90",8 days
882,Online,WARE-NBV1002,7/19/2018,9/11/2018,9/16/2018,17,76,7,0.2,"3,597.90","5,996.50",5 days
883,Wholesale,WARE-PUJ1005,4/10/2018,9/11/2018,9/20/2018,28,322,8,0.2,926.28,"1,172.50",9 days
884,Wholesale,WARE-XYS1001,4/10/2018,9/11/2018,9/22/2018,28,56,8,0.05,153.7,207.7,11 days
885,In-Store,WARE-NMK1003,7/19/2018,9/11/2018,10/2/2018,3,148,6,0.1,868.32,"1,085.40",21 days
886,Online,WARE-UHY1004,4/10/2018,9/11/2018,10/8/2018,16,224,7,0.2,627.12,964.8,27 days
887,Wholesale,WARE-NMK1003,7/19/2018,9/11/2018,9/30/2018,27,202,2,0.05,"3,142.57","3,832.40",19 days
888,Distributor,WARE-PUJ1005,4/10/2018,9/12/2018,9/21/2018,23,268,2,0.3,754.15,"1,125.60",9 days
889,Distributor,WARE-XYS1001,4/10/2018,9/12/2018,10/4/2018,21,46,2,0.05,649.83,"1,065.30",22 days
890,In-Store,WARE-NMK1003,4/10/2018,9/12/2018,9/14/2018,9,120,7,0.3,"4,214.30","6,197.50",2 days
891,Distributor,WARE-XYS1001,4/10/2018,9/12/2018,9/24/2018,22,3,6,0.05,"2,778.09","3,912.80",12 days
892,In-Store,WARE-PUJ1005,4/10/2018,9/12/2018,10/6/2018,4,288,1,0.1,185.93,247.9,24 days
893,Online,WARE-MKL1006,7/19/2018,9/12/2018,10/3/2018,19,339,3,0.075,789.26,"1,038.50",21 days
894,In-Store,WARE-NMK1003,7/19/2018,9/12/2018,9/17/2018,2,110,8,0.1,604.34,"1,098.80",5 days
895,In-Store,WARE-NBV1002,7/19/2018,9/12/2018,9/14/2018,3,83,1,0.075,814.72,"1,273.00",2 days
896,Distributor,WARE-MKL1006,4/10/2018,9/12/2018,9/14/2018,24,350,5,0.15,160.8,268,2 days
897,Distributor,WARE-NBV1002,4/10/2018,9/13/2018,9/20/2018,21,70,8,0.075,"2,157.40","3,852.50",7 days
898,Online,WARE-NMK1003,7/19/2018,9/13/2018,10/3/2018,18,154,7,0.2,900.48,"1,876.00",20 days
899,In-Store,WARE-NMK1003,7/19/2018,9/13/2018,10/3/2018,10,134,5,0.15,887.62,"1,286.40",20 days
900,Online,WARE-NMK1003,4/10/2018,9/13/2018,9/22/2018,14,120,6,0.2,101.04,174.2,9 days
901,Distributor,WARE-MKL1006,4/10/2018,9/13/2018,9/24/2018,22,360,6,0.15,"4,102.41","5,259.50",11 days
902,Distributor,WARE-UHY1004,4/10/2018,9/13/2018,10/2/2018,22,213,1,0.4,"5,144.80","6,512.40",19 days
903,In-Store,WARE-NMK1003,4/10/2018,9/13/2018,9/19/2018,9,194,3,0.075,"1,021.08","1,701.80",6 days
904,Online,WARE-XYS1001,7/19/2018,9/13/2018,10/11/2018,17,50,5,0.1,"2,682.68","3,832.40",28 days
905,Distributor,WARE-MKL1006,4/10/2018,9/13/2018,9/17/2018,25,330,7,0.15,923.26,"1,775.50",4 days
906,Online,WARE-XYS1001,4/10/2018,9/13/2018,10/11/2018,16,12,2,0.15,865.31,"1,922.90",28 days
907,Wholesale,WARE-PUJ1005,7/19/2018,9/13/2018,10/10/2018,26,291,3,0.05,490.11,891.1,27 days
908,In-Store,WARE-PUJ1005,4/10/2018,9/14/2018,9/20/2018,2,264,7,0.075,"1,875.13","3,289.70",6 days
909,Distributor,WARE-NMK1003,7/19/2018,9/14/2018,9/24/2018,24,90,1,0.05,593.29,"1,078.70",10 days
910,Wholesale,WARE-MKL1006,7/19/2018,9/14/2018,10/3/2018,26,346,2,0.05,"2,720.20","3,886.00",19 days
911,Online,WARE-NMK1003,7/19/2018,9/14/2018,10/10/2018,12,172,4,0.05,"1,143.56","1,681.70",26 days
912,Wholesale,WARE-PUJ1005,4/10/2018,9/14/2018,10/6/2018,28,266,2,0.075,852.24,"1,065.30",22 days
913,Distributor,WARE-NMK1003,4/10/2018,9/14/2018,10/9/2018,23,146,7,0.2,"3,286.75","3,912.80",25 days
914,Online,WARE-NBV1002,7/19/2018,9/14/2018,9/17/2018,18,86,2,0.3,"2,520.54","3,819.00",3 days
915,Online,WARE-UHY1004,7/19/2018,9/14/2018,9/27/2018,18,222,5,0.075,758.57,"1,025.10",13 days
916,Distributor,WARE-NMK1003,4/10/2018,9/14/2018,10/4/2018,22,203,6,0.15,"1,601.30","3,202.60",20 days
917,In-Store,WARE-NMK1003,7/19/2018,9/14/2018,10/1/2018,11,170,1,0.1,"2,440.94","5,306.40",17 days
918,In-Store,WARE-UHY1004,7/19/2018,9/14/2018,9/26/2018,9,239,5,0.075,"1,331.42","1,849.20",12 days
919,Online,WARE-PUJ1005,7/19/2018,9/14/2018,9/21/2018,16,282,3,0.1,137.95,194.3,7 days
920,In-Store,WARE-XYS1001,4/10/2018,9/14/2018,9/20/2018,7,24,8,0.05,757.37,"1,051.90",6 days
921,Online,WARE-XYS1001,7/19/2018,9/14/2018,9/23/2018,18,58,7,0.1,"1,537.65","1,809.00",9 days
922,In-Store,WARE-XYS1001,4/10/2018,9/15/2018,10/4/2018,1,37,2,0.15,130.78,214.4,19 days
923,In-Store,WARE-XYS1001,7/19/2018,9/15/2018,9/17/2018,6,19,6,0.075,"2,577.56","3,530.90",2 days
924,In-Store,WARE-NMK1003,4/10/2018,9/15/2018,9/21/2018,5,201,6,0.4,810.03,"1,038.50",6 days
925,Online,WARE-MKL1006,7/19/2018,9/15/2018,10/1/2018,19,352,2,0.075,"1,561.77","3,470.60",16 days
926,Distributor,WARE-NBV1002,7/19/2018,9/15/2018,9/19/2018,23,83,1,0.15,"2,154.52","2,659.90",4 days
927,Online,WARE-NMK1003,4/10/2018,9/15/2018,10/12/2018,17,128,8,0.05,637.77,"1,118.90",27 days
928,In-Store,WARE-PUJ1005,4/10/2018,9/15/2018,10/2/2018,4,327,4,0.4,"2,257.77","3,892.70",17 days
929,In-Store,WARE-NMK1003,7/19/2018,9/15/2018,10/4/2018,9,177,3,0.075,921.52,"2,003.30",19 days
930,Online,WARE-NBV1002,7/19/2018,9/15/2018,9/23/2018,12,86,4,0.05,788.66,998.3,8 days
931,In-Store,WARE-PUJ1005,7/19/2018,9/16/2018,10/5/2018,9,312,3,0.05,"1,654.90","2,546.00",19 days
932,Online,WARE-XYS1001,7/19/2018,9/16/2018,9/18/2018,15,26,5,0.075,"2,093.21","2,552.70",2 days
933,In-Store,WARE-XYS1001,7/19/2018,9/16/2018,9/24/2018,1,49,8,0.05,"2,610.59","3,839.10",8 days
934,Distributor,WARE-MKL1006,4/10/2018,9/16/2018,9/25/2018,23,354,4,0.05,"4,071.52","6,076.90",9 days
935,Distributor,WARE-PUJ1005,7/19/2018,9/16/2018,10/11/2018,20,307,7,0.2,462.84,"1,051.90",25 days
936,Distributor,WARE-PUJ1005,4/10/2018,9/16/2018,10/13/2018,21,303,8,0.075,577.47,"1,132.30",27 days
937,In-Store,WARE-MKL1006,7/19/2018,9/17/2018,9/25/2018,6,366,8,0.05,"1,184.56","2,961.40",8 days
938,In-Store,WARE-NMK1003,4/10/2018,9/17/2018,9/30/2018,6,88,4,0.05,"2,140.05","3,396.90",13 days
939,In-Store,WARE-UHY1004,4/10/2018,9/17/2018,9/21/2018,5,244,7,0.2,"3,322.53","5,728.50",4 days
940,Distributor,WARE-UHY1004,7/19/2018,9/17/2018,10/10/2018,21,230,6,0.05,"1,401.37","2,224.40",23 days
941,Online,WARE-MKL1006,7/19/2018,9/17/2018,9/21/2018,13,357,3,0.075,"1,674.33","3,986.50",4 days
942,Wholesale,WARE-NMK1003,7/19/2018,9/17/2018,9/25/2018,26,155,8,0.1,"2,613.54","5,681.60",8 days
943,Distributor,WARE-XYS1001,4/10/2018,9/18/2018,10/1/2018,23,21,2,0.075,"3,005.55","5,272.90",13 days
944,Distributor,WARE-PUJ1005,7/19/2018,9/18/2018,10/8/2018,23,323,8,0.2,529.03,"1,125.60",20 days
945,Online,WARE-NBV1002,7/19/2018,9/18/2018,10/10/2018,15,60,7,0.05,400.26,690.1,22 days
946,In-Store,WARE-NMK1003,7/19/2018,9/18/2018,9/30/2018,5,92,3,0.05,"1,502.14","2,546.00",12 days
947,In-Store,WARE-UHY1004,7/19/2018,9/18/2018,9/25/2018,1,224,5,0.1,"2,276.33","3,035.10",7 days
948,Online,WARE-NMK1003,4/10/2018,9/18/2018,9/29/2018,16,135,2,0.05,"2,444.03","4,006.60",11 days
949,In-Store,WARE-NMK1003,7/19/2018,9/19/2018,9/22/2018,3,195,6,0.1,"2,179.91","3,892.70",3 days
950,In-Store,WARE-MKL1006,7/19/2018,9/19/2018,10/5/2018,6,338,8,0.1,"1,334.37","2,566.10",16 days
951,In-Store,WARE-NMK1003,7/19/2018,9/19/2018,10/6/2018,2,201,8,0.075,786.65,"1,333.30",17 days
952,In-Store,WARE-MKL1006,7/19/2018,9/19/2018,9/21/2018,8,353,5,0.05,452.32,"1,051.90",2 days
953,Wholesale,WARE-PUJ1005,7/19/2018,9/19/2018,9/29/2018,27,281,3,0.05,"3,314.89","3,946.30",10 days
954,Distributor,WARE-NMK1003,4/10/2018,9/19/2018,10/4/2018,23,149,8,0.05,593.02,"1,118.90",15 days
955,Online,WARE-PUJ1005,4/10/2018,9/19/2018,10/7/2018,19,278,8,0.075,"1,325.26","2,881.00",18 days
956,In-Store,WARE-UHY1004,7/19/2018,9/20/2018,9/26/2018,8,211,7,0.05,"1,890.74","2,224.40",6 days
957,Online,WARE-NMK1003,4/10/2018,9/20/2018,9/22/2018,19,164,1,0.075,586.79,"1,011.70",2 days
958,Distributor,WARE-XYS1001,4/10/2018,9/20/2018,10/9/2018,24,17,2,0.2,123.95,167.5,19 days
959,In-Store,WARE-XYS1001,7/19/2018,9/20/2018,10/4/2018,12,15,7,0.05,740.35,"1,139.00",14 days
960,Distributor,WARE-NMK1003,4/10/2018,9/20/2018,10/9/2018,23,134,8,0.05,110.55,167.5,19 days
961,In-Store,WARE-NMK1003,4/10/2018,9/20/2018,10/14/2018,1,153,1,0.05,553.15,864.3,24 days
962,In-Store,WARE-NMK1003,7/19/2018,9/20/2018,10/5/2018,4,135,1,0.05,"2,477.33","2,914.50",15 days
963,Distributor,WARE-UHY1004,4/10/2018,9/21/2018,10/15/2018,24,232,3,0.05,"2,858.22","5,293.00",24 days
964,In-Store,WARE-NBV1002,7/19/2018,9/21/2018,9/29/2018,2,66,6,0.2,406.82,924.6,8 days
965,In-Store,WARE-NMK1003,7/19/2018,9/21/2018,9/30/2018,4,160,4,0.1,619.08,884.4,9 days
966,Online,WARE-XYS1001,7/19/2018,9/21/2018,9/25/2018,18,58,7,0.4,"1,819.59","2,458.90",4 days
967,In-Store,WARE-MKL1006,4/10/2018,9/21/2018,10/14/2018,3,357,8,0.05,656.47,924.6,23 days
968,In-Store,WARE-NMK1003,4/10/2018,9/21/2018,10/3/2018,8,101,8,0.05,"3,235.90","6,344.90",12 days
969,Online,WARE-XYS1001,7/19/2018,9/21/2018,10/9/2018,18,22,2,0.4,"2,910.35","3,932.90",18 days
970,Distributor,WARE-PUJ1005,4/10/2018,9/22/2018,10/16/2018,23,296,5,0.075,500.49,"1,112.20",24 days
971,Distributor,WARE-UHY1004,7/19/2018,9/22/2018,10/1/2018,23,261,7,0.15,370.85,904.5,9 days
972,Online,WARE-NMK1003,7/19/2018,9/22/2018,10/6/2018,15,93,2,0.075,524.61,"1,165.80",14 days
973,In-Store,WARE-PUJ1005,4/10/2018,9/22/2018,9/30/2018,1,291,7,0.15,116.71,174.2,8 days
974,In-Store,WARE-PUJ1005,4/10/2018,9/22/2018,10/13/2018,11,320,6,0.075,"1,379.53","2,378.50",21 days
975,In-Store,WARE-MKL1006,7/19/2018,9/22/2018,9/28/2018,2,362,4,0.1,850.83,"1,025.10",6 days
976,In-Store,WARE-NMK1003,7/19/2018,9/22/2018,10/16/2018,7,100,6,0.075,"2,034.72","3,839.10",24 days
977,Online,WARE-NMK1003,7/19/2018,9/22/2018,10/15/2018,16,170,8,0.15,650.03,"1,031.80",23 days
978,Wholesale,WARE-MKL1006,4/10/2018,9/22/2018,10/9/2018,27,336,6,0.05,623.1,"1,005.00",17 days
979,Distributor,WARE-MKL1006,7/19/2018,9/23/2018,10/5/2018,25,339,6,0.05,"2,215.02","3,886.00",12 days
980,In-Store,WARE-NMK1003,7/19/2018,9/23/2018,10/8/2018,10,184,6,0.15,574.06,"1,125.60",15 days
981,In-Store,WARE-PUJ1005,4/10/2018,9/23/2018,10/2/2018,2,325,2,0.1,"1,832.72","3,899.40",9 days
982,Online,WARE-UHY1004,7/19/2018,9/23/2018,9/26/2018,14,211,5,0.05,976.53,"1,842.50",3 days
983,Online,WARE-NMK1003,4/10/2018,9/23/2018,10/6/2018,17,155,2,0.05,86.43,201,13 days
984,Online,WARE-PUJ1005,4/10/2018,9/23/2018,10/17/2018,13,301,7,0.05,707.52,"1,768.80",24 days
985,In-Store,WARE-PUJ1005,4/10/2018,9/23/2018,9/29/2018,3,267,1,0.4,"3,777.80","5,996.50",6 days
986,Online,WARE-MKL1006,4/10/2018,9/23/2018,10/12/2018,13,329,1,0.075,"1,667.09","2,525.90",19 days
987,Distributor,WARE-XYS1001,7/19/2018,9/23/2018,10/13/2018,24,57,1,0.05,562.8,"1,005.00",20 days
988,Online,WARE-PUJ1005,4/10/2018,9/23/2018,9/25/2018,15,285,5,0.3,377.88,944.7,2 days
989,Online,WARE-UHY1004,4/10/2018,9/23/2018,10/1/2018,15,245,7,0.3,924.94,"1,681.70",8 days
990,Online,WARE-MKL1006,4/10/2018,9/24/2018,10/2/2018,14,336,2,0.2,151.96,180.9,8 days
991,Online,WARE-PUJ1005,4/10/2018,9/24/2018,10/9/2018,19,306,4,0.05,"1,592.72","1,896.10",15 days
992,In-Store,WARE-PUJ1005,7/19/2018,9/24/2018,10/6/2018,12,286,8,0.075,410.04,804,12 days
993,In-Store,WARE-PUJ1005,7/19/2018,9/24/2018,9/30/2018,7,285,5,0.1,778.54,"1,112.20",6 days
994,Online,WARE-NMK1003,4/10/2018,9/24/2018,10/14/2018,14,174,7,0.1,437.18,971.5,20 days
995,Online,WARE-PUJ1005,4/10/2018,9/24/2018,10/20/2018,17,271,2,0.05,"1,380.74","2,465.60",26 days
996,In-Store,WARE-UHY1004,4/10/2018,9/24/2018,9/26/2018,2,208,6,0.05,"1,915.13","2,659.90",2 days
997,Wholesale,WARE-NBV1002,7/19/2018,9/25/2018,10/11/2018,27,61,7,0.2,"1,155.75","1,675.00",16 days
998,Online,WARE-NMK1003,7/19/2018,9/25/2018,9/27/2018,14,115,5,0.05,"3,505.84","6,150.60",2 days
999,Online,WARE-NMK1003,4/10/2018,9/25/2018,9/27/2018,16,172,5,0.05,"2,387.88","5,306.40",2 days
1000,Distributor,WARE-PUJ1005,7/19/2018,9/25/2018,10/2/2018,21,329,6,0.15,"3,082.13","3,758.70",7 days
1001,Online,WARE-PUJ1005,4/10/2018,9/25/2018,10/5/2018,15,318,7,0.075,"1,603.98","2,291.40",10 days
1002,In-Store,WARE-NMK1003,4/10/2018,9/25/2018,10/20/2018,5,142,7,0.075,"3,564.13","5,748.60",25 days
1003,Online,WARE-MKL1006,4/10/2018,9/25/2018,10/9/2018,13,355,8,0.1,"1,336.65","1,909.50",14 days
1004,Online,WARE-NMK1003,7/19/2018,9/25/2018,10/5/2018,13,185,7,0.05,"3,308.80","3,892.70",10 days
1005,Online,WARE-MKL1006,4/10/2018,9/25/2018,10/12/2018,12,362,6,0.075,749.66,"1,118.90",17 days
1006,Online,WARE-NMK1003,4/10/2018,9/25/2018,10/21/2018,16,164,1,0.075,"2,559.94","3,999.90",26 days
1007,In-Store,WARE-PUJ1005,7/19/2018,9/26/2018,10/6/2018,10,286,2,0.075,873.28,"1,782.20",10 days
1008,Distributor,WARE-NMK1003,7/19/2018,9/26/2018,10/22/2018,24,114,4,0.05,707.52,"1,072.00",26 days
1009,In-Store,WARE-XYS1001,4/10/2018,9/26/2018,10/12/2018,10,29,4,0.4,559.92,917.9,16 days
1010,Distributor,WARE-PUJ1005,4/10/2018,9/26/2018,10/21/2018,23,323,2,0.075,"2,836.51","5,252.80",25 days
1011,Distributor,WARE-UHY1004,7/19/2018,9/26/2018,10/4/2018,22,213,4,0.075,"5,399.73","6,505.70",8 days
1012,In-Store,WARE-PUJ1005,7/19/2018,9/26/2018,9/29/2018,4,317,6,0.1,"1,932.41","3,390.20",3 days
1013,In-Store,WARE-PUJ1005,4/10/2018,9/26/2018,10/18/2018,6,298,5,0.075,108.34,221.1,22 days
1014,Online,WARE-PUJ1005,7/19/2018,9/26/2018,10/24/2018,14,282,2,0.05,"3,034.83","3,993.20",28 days
1015,In-Store,WARE-MKL1006,7/19/2018,9/26/2018,10/1/2018,9,340,8,0.4,"1,612.29","2,519.20",5 days
1016,In-Store,WARE-XYS1001,7/19/2018,9/27/2018,10/7/2018,9,19,5,0.05,"2,964.75","3,953.00",10 days
1017,In-Store,WARE-PUJ1005,4/10/2018,9/27/2018,10/9/2018,12,303,3,0.2,840.92,"1,092.10",12 days
1018,Online,WARE-NBV1002,4/10/2018,9/27/2018,10/5/2018,20,84,7,0.3,"4,726.92","5,835.70",8 days
1019,In-Store,WARE-NMK1003,4/10/2018,9/27/2018,10/19/2018,12,101,5,0.05,"1,276.35","1,701.80",22 days
1020,Wholesale,WARE-XYS1001,4/10/2018,9/27/2018,10/7/2018,26,20,6,0.15,"4,343.14","6,117.10",10 days
1021,In-Store,WARE-MKL1006,7/19/2018,9/27/2018,10/21/2018,6,332,2,0.075,"1,188.92","1,829.10",24 days
1022,In-Store,WARE-MKL1006,4/10/2018,9/27/2018,9/30/2018,2,363,5,0.075,"2,477.73","3,932.90",3 days
1023,Online,WARE-NMK1003,7/19/2018,9/27/2018,10/1/2018,15,97,2,0.05,"1,101.82","1,695.10",4 days
1024,Online,WARE-NMK1003,7/19/2018,9/27/2018,10/23/2018,12,199,4,0.2,130.25,180.9,26 days
1025,In-Store,WARE-NMK1003,4/10/2018,9/28/2018,10/5/2018,12,126,1,0.15,631.94,877.7,7 days
1026,In-Store,WARE-NBV1002,4/10/2018,9/28/2018,10/21/2018,9,79,7,0.15,"1,984.88","2,646.50",23 days
1027,In-Store,WARE-NBV1002,4/10/2018,9/28/2018,10/17/2018,9,74,4,0.05,"2,206.85","5,132.20",19 days
1028,Online,WARE-XYS1001,7/19/2018,9/28/2018,10/23/2018,18,48,8,0.4,"3,271.74","5,112.10",25 days
1029,In-Store,WARE-UHY1004,7/19/2018,9/28/2018,10/4/2018,12,222,7,0.05,522,"1,065.30",6 days
1030,Online,WARE-UHY1004,7/19/2018,9/28/2018,10/8/2018,19,216,6,0.15,"2,059.85","3,269.60",10 days
1031,In-Store,WARE-PUJ1005,4/10/2018,9/28/2018,10/2/2018,9,315,6,0.075,"3,277.91","6,070.20",4 days
1032,Online,WARE-XYS1001,7/19/2018,9/28/2018,10/18/2018,18,33,7,0.2,857.4,"1,279.70",20 days
1033,In-Store,WARE-NBV1002,7/19/2018,9/28/2018,10/7/2018,11,74,1,0.05,"2,449.52","3,061.90",9 days
1034,In-Store,WARE-UHY1004,7/19/2018,9/28/2018,10/2/2018,1,233,2,0.05,"1,217.39","2,646.50",4 days
1035,Distributor,WARE-NMK1003,4/10/2018,9/29/2018,10/27/2018,23,169,6,0.075,"3,767.54","5,232.70",28 days
1036,Online,WARE-NMK1003,4/10/2018,9/29/2018,10/15/2018,16,105,6,0.15,"3,268.93","3,986.50",16 days
1037,Online,WARE-PUJ1005,7/19/2018,9/29/2018,10/3/2018,16,306,4,0.1,178.49,247.9,4 days
1038,Distributor,WARE-NMK1003,7/19/2018,9/29/2018,10/1/2018,22,113,6,0.15,141.5,221.1,2 days
1039,Distributor,WARE-MKL1006,4/10/2018,9/29/2018,10/6/2018,23,358,3,0.1,492.32,"1,118.90",7 days
1040,In-Store,WARE-NMK1003,4/10/2018,9/29/2018,10/10/2018,5,146,1,0.05,"2,825.52","5,433.70",11 days
1041,In-Store,WARE-PUJ1005,7/19/2018,9/29/2018,10/27/2018,7,291,5,0.075,"1,756.47","3,028.40",28 days
1042,Online,WARE-PUJ1005,4/10/2018,9/29/2018,10/4/2018,15,296,1,0.15,"2,296.69","3,892.70",5 days
1043,In-Store,WARE-UHY1004,4/10/2018,9/29/2018,10/9/2018,12,224,3,0.15,"2,089.40","2,579.50",10 days
1044,Wholesale,WARE-NMK1003,7/19/2018,9/29/2018,10/3/2018,27,131,6,0.05,"1,230.12","1,809.00",4 days
